type	alpha3	fips10	internet	numeric
AA	AAA			958
AC	ASC			
AD	AND	AN		020
AE	ARE			784
AF	AFG			004
AG	ATG	AC		028
AI	AIA	AV		660
AL	ALB			008
AM	ARM			051
AN	ANT	NT		530
AO	AGO			024
AQ	ATA	AY		010
AR	ARG			032
AS	ASM	AQ		016
AT	AUT	AU		040
AU	AUS	AS		036
AW	ABW	AA		533
AX	ALA			248
AZ	AZE	AJ		031
BA	BIH	BK		070
BB	BRB			052
BD	BGD	BG		050
BE	BEL			056
BF	BFA	UV		854
BG	BGR	BU		100
BH	BHR	BA		048
BI	BDI	BY		108
BJ	BEN	BN		204
BL	BLM	TB		652
BM	BMU	BD		060
BN	BRN	BX		096
BO	BOL	BL		068
BQ	BES			535
BR	BRA			076
BS	BHS	BF		044
BT	BTN			064
BU	BUR			104
BV	BVT			074
BW	BWA	BC		072
BY	BLR	BO		112
BZ	BLZ	BH		084
CA	CAN			124
CC	CCK	CK		166
CD	COD	CG		180
CF	CAF	CT		140
CG	COG	CF		178
CH	CHE	SZ		756
CI	CIV	IV		384
CK	COK	CW		184
CL	CHL	CI		152
CM	CMR			120
CN	CHN	CH		156
CO	COL			170
CP	CPT			
CR	CRI	CS		188
CS	SCG	YI		891
CU	CUB			192
CV	CPV			132
CW	CUW			531
CX	CXR	KT		162
CY	CYP			196
CZ	CZE	EZ		203
DD	DDR			278
DE	DEU	GM		276
DG	DGA			
DJ	DJI			262
DK	DNK	DA		208
DM	DMA	DO		212
DO	DOM	DR		214
DZ	DZA	AG		012
EA				
EC	ECU			218
EE	EST	EN		233
EG	EGY			818
EH	ESH	WI		732
ER	ERI			232
ES	ESP	SP		724
ET	ETH			231
EU	QUU			967
FI	FIN			246
FJ	FJI			242
FK	FLK			238
FM	FSM			583
FO	FRO			234
FR	FRA			250
FX	FXX			249
GA	GAB	GB		266
GB	GBR	UK	UK GB	826
GD	GRD	GJ		308
GE	GEO	GG		268
GF	GUF	FG		254
GG	GGY	GK		831
GH	GHA			288
GI	GIB			292
GL	GRL			304
GM	GMB	GA		270
GN	GIN	GV		324
GP	GLP			312
GQ	GNQ	EK		226
GR	GRC			300
GS	SGS	SX		239
GT	GTM			320
GU	GUM	GQ		316
GW	GNB	PU		624
GY	GUY			328
HK	HKG			344
HM	HMD			334
HN	HND	HO		340
HR	HRV			191
HT	HTI	HA		332
HU	HUN			348
IC				
ID	IDN			360
IE	IRL	EI		372
IL	ISR	IS		376
IM	IMN			833
IN	IND			356
IO	IOT			086
IQ	IRQ	IZ		368
IR	IRN			364
IS	ISL	IC		352
IT	ITA			380
JE	JEY			832
JM	JAM			388
JO	JOR			400
JP	JPN	JA		392
KE	KEN			404
KG	KGZ			417
KH	KHM	CB		116
KI	KIR	KR		296
KM	COM	CN		174
KN	KNA	SC		659
KP	PRK	KN		408
KR	KOR	KS		410
KW	KWT	KU		414
KY	CYM	CJ		136
KZ	KAZ			398
LA	LAO			418
LB	LBN	LE		422
LC	LCA	ST		662
LI	LIE	LS		438
LK	LKA	CE		144
LR	LBR	LI		430
LS	LSO	LT		426
LT	LTU	LH		440
LU	LUX			442
LV	LVA	LG		428
LY	LBY			434
MA	MAR	MO		504
MC	MCO	MN		492
MD	MDA			498
ME	MNE	MJ		499
MF	MAF	RN		663
MG	MDG	MA		450
MH	MHL	RM		584
MK	MKD			807
ML	MLI			466
MM	MMR	BM		104
MN	MNG	MG		496
MO	MAC	MC		446
MP	MNP	CQ		580
MQ	MTQ	MB		474
MR	MRT			478
MS	MSR	MH		500
MT	MLT			470
MU	MUS	MP		480
MV	MDV			462
MW	MWI	MI		454
MX	MEX			484
MY	MYS			458
MZ	MOZ			508
NA	NAM	WA		516
NC	NCL			540
NE	NER	NG		562
NF	NFK			574
NG	NGA	NI		566
NI	NIC	NU		558
NL	NLD			528
NO	NOR			578
NP	NPL			524
NR	NRU			520
NT	NTZ			536
NU	NIU	NE		570
NZ	NZL			554
OM	OMN	MU		512
PA	PAN	PM		591
PE	PER			604
PF	PYF	FP		258
PG	PNG	PP		598
PH	PHL	RP		608
PK	PAK			586
PL	POL			616
PM	SPM	SB		666
PN	PCN	PC		612
PR	PRI	RQ		630
PS	PSE	GZ		275
PT	PRT	PO		620
PW	PLW	PS		585
PY	PRY	PA		600
QA	QAT			634
QM	QMM			959
QN	QNN			960
QO	QOO			961
QP	QPP			962
QQ	QQQ			963
QR	QRR			964
QS	QSS			965
QT	QTT			966
QU	QUU			967
QV	QVV			968
QW	QWW			969
QX	QXX			970
QY	QYY			971
QZ	QZZ			972
RE	REU			638
RO	ROU			642
RS	SRB	RB		688
RU	RUS	RS	RU SU	643
RW	RWA			646
SA	SAU			682
SB	SLB	BP		090
SC	SYC	SE		690
SD	SDN	SU		729
SE	SWE	SW		752
SG	SGP	SN		702
SH	SHN			654
SI	SVN			705
SJ	SJM	SV		744
SK	SVK	LO		703
SL	SLE			694
SM	SMR			674
SN	SEN	SG		686
SO	SOM			706
SR	SUR	NS		740
SS	SSD			728
ST	STP	TP		678
SU	SUN			810
SV	SLV	ES		222
SX	SXM			534
SY	SYR			760
SZ	SWZ	WZ		748
TA	TAA			
TC	TCA	TK		796
TD	TCD	CD		148
TF	ATF	FS		260
TG	TGO	TO		768
TH	THA			764
TJ	TJK	TI		762
TK	TKL	TL		772
TL	TLS	TT	TL TP	626
TM	TKM	TX		795
TN	TUN	TS		788
TO	TON	TN		776
TP	TMP			626
TR	TUR	TU		792
TT	TTO	TD		780
TV	TUV			798
TW	TWN			158
TZ	TZA			834
UA	UKR	UP		804
UG	UGA			800
UM	UMI			581
US	USA			840
UY	URY			858
UZ	UZB			860
VA	VAT	VT		336
VC	VCT			670
VE	VEN			862
VG	VGB	VI		092
VI	VIR	VQ		850
VN	VNM	VM		704
VU	VUT	NH		548
WF	WLF			876
WS	WSM			882
XA	XAA			973
XB	XBB			974
XC	XCC			975
XD	XDD			976
XE	XEE			977
XF	XFF			978
XG	XGG			979
XH	XHH			980
XI	XII			981
XJ	XJJ			982
XK	XKK			983
XL	XLL			984
XM	XMM			985
XN	XNN			986
XO	XOO			987
XP	XPP			988
XQ	XQQ			989
XR	XRR			990
XS	XSS			991
XT	XTT			992
XU	XUU			993
XV	XVV			994
XW	XWW			995
XX	XXX			996
XY	XYY			997
XZ	XZZ			998
YD	YMD			720
YE	YEM	YM		887
YT	MYT	MF		175
YU	YUG			891
ZA	ZAF	SF		710
ZM	ZMB	ZA		894
ZR	ZAR			180
ZW	ZWE	ZI		716
ZZ	ZZZ		ABOGADO ACADEMY ACCOUNTANTS ACTIVE ACTOR ADULT AERO AGENCY AIRFORCE ALLFINANZ ALSACE AMSTERDAM ANDROID APARTMENTS AQUARELLE ARCHI ARMY ARPA ASIA ASSOCIATES ATTORNEY AUCTION AUDIO AUTOS AXA BAND BANK BAR BARCLAYCARD BARCLAYS BARGAINS BAYERN BEER BERLIN BEST BID BIKE BINGO BIO BIZ BLACK BLACKFRIDAY BLOOMBERG BLUE BMW BNPPARIBAS BOO BOUTIQUE BRUSSELS BUDAPEST BUILD BUILDERS BUSINESS BUZZ BZH CAB CAL CAMERA CAMP CANCERRESEARCH CANON CAPETOWN CAPITAL CARAVAN CARDS CARE CAREER CAREERS CARTIER CASA CASH CASINO CAT CATERING CBN CENTER CEO CERN CHANNEL CHAT CHEAP CHRISTMAS CHROME CHURCH CITIC CITY CLAIMS CLEANING CLICK CLINIC CLOTHING CLUB COACH CODES COFFEE COLLEGE COLOGNE COM COMMUNITY COMPANY COMPUTER CONDOS CONSTRUCTION CONSULTING CONTRACTORS COOKING COOL COOP COUNTRY CREDIT CREDITCARD CRICKET CRS CRUISES CUISINELLA CYMRU DABUR DAD DANCE DATING DAY DCLK DEALS DEGREE DELIVERY DEMOCRAT DENTAL DENTIST DESI DESIGN DEV DIAMONDS DIET DIGITAL DIRECT DIRECTORY DISCOUNT DNP DOCS DOMAINS DOOSAN DURBAN DVAG EAT EDU EDUCATION EMAIL EMERCK ENERGY ENGINEER ENGINEERING ENTERPRISES EQUIPMENT ESQ ESTATE EUROVISION EUS EVENTS EVERBANK EXCHANGE EXPERT EXPOSED FAIL FANS FARM FASHION FEEDBACK FINANCE FINANCIAL FIRMDALE FISH FISHING FIT FITNESS FLIGHTS FLORIST FLOWERS FLSMIDTH FLY FOO FOOTBALL FORSALE FOUNDATION FRL FROGANS FUND FURNITURE FUTBOL GAL GALLERY GARDEN GBIZ GDN GENT GGEE GIFT GIFTS GIVES GLASS GLE GLOBAL GLOBO GMAIL GMO GMX GOLDPOINT GOOG GOOGLE GOP GOV GRAPHICS GRATIS GREEN GRIPE GUIDE GUITARS GURU HAMBURG HANGOUT HAUS HEALTHCARE HELP HERE HERMES HIPHOP HIV HOLDINGS HOLIDAY HOMES HORSE HOST HOSTING HOUSE HOW IBM IFM IMMO IMMOBILIEN INDUSTRIES INFO ING INK INSTITUTE INSURE INT INTERNATIONAL INVESTMENTS IRISH IWC JCB JETZT JOBS JOBURG JUEGOS KAUFEN KDDI KIM KITCHEN KIWI KOELN KRD KRED KYOTO LACAIXA LAND LAT LATROBE LAWYER LDS LEASE LEGAL LGBT LIDL LIFE LIGHTING LIMITED LIMO LINK LOANS LONDON LOTTE LOTTO LTDA LUXE LUXURY MADRID MAISON MANAGEMENT MANGO MARKET MARKETING MARRIOTT MEDIA MEET MELBOURNE MEME MEMORIAL MENU MIAMI MIL MINI MOBI MODA MOE MONASH MONEY MORMON MORTGAGE MOSCOW MOTORCYCLES MOV MUSEUM NAGOYA NAME NAVY NET NETWORK NEUSTAR NEW NEXUS NGO NHK NICO NINJA NRA NRW NTT NYC OKINAWA ONE ONG ONL OOO ORG ORGANIC OSAKA OTSUKA OVH PARIS PARTNERS PARTS PARTY PHARMACY PHOTO PHOTOGRAPHY PHOTOS PHYSIO PICS PICTURES PINK PIZZA PLACE PLUMBING POHL POKER PORN POST PRAXI PRESS PRO PROD PRODUCTIONS PROF PROPERTIES PROPERTY PUB QPON QUEBEC REALTOR RECIPES RED REHAB REISE REISEN REIT REN RENTALS REPAIR REPORT REPUBLICAN REST RESTAURANT REVIEWS RICH RIO RIP ROCKS RODEO RSVP RUHR RYUKYU SAARLAND SALE SAMSUNG SARL SAXO SCA SCB SCHMIDT SCHOOL SCHULE SCHWARZ SCIENCE SCOT SERVICES SEW SEXY SHIKSHA SHOES SHRIRAM SINGLES SKY SOCIAL SOFTWARE SOHU SOLAR SOLUTIONS SOY SPACE SPIEGEL STYLE SUPPLIES SUPPLY SUPPORT SURF SURGERY SUZUKI SYDNEY SYSTEMS TAIPEI TATAR TATTOO TAX TECHNOLOGY TEL TEMASEK TENNIS TIENDA TIPS TIRES TIROL TODAY TOKYO TOOLS TOP TOSHIBA TOWN TOYS TRADE TRAINING TRAVEL TRUST TUI UNIVERSITY UNO UOL VACATIONS VEGAS VENTURES VERSICHERUNG VET VIAJES VIDEO VILLAS VISION VLAANDEREN VODKA VOTE VOTING VOTO VOYAGE WALES WANG WATCH WEBCAM WEBSITE WED WEDDING WHOSWHO WIEN WIKI WILLIAMHILL WME WORK WORKS WORLD WTC WTF XN--1QQW23A XN--3BST00M XN--3DS443G XN--3E0B707E XN--45BRJ9C XN--45Q11C XN--4GBRIM XN--55QW42G XN--55QX5D XN--6FRZ82G XN--6QQ986B3XL XN--80ADXHKS XN--80AO21A XN--80ASEHDB XN--80ASWG XN--90A3AC XN--90AIS XN--B4W605FERD XN--C1AVG XN--CG4BKI XN--CLCHC0EA0B2G2A9GCD XN--CZR694B XN--CZRS0T XN--CZRU2D XN--D1ACJ3B XN--D1ALF XN--FIQ228C5HS XN--FIQ64B XN--FIQS8S XN--FIQZ9S XN--FLW351E XN--FPCRJ9C3D XN--FZC2C9E2C XN--GECRJ9C XN--H2BRJ9C XN--HXT814E XN--I1B6B1A6A2E XN--IO0A7I XN--J1AMH XN--J6W193G XN--KPRW13D XN--KPRY57D XN--KPUT3I XN--L1ACC XN--LGBBAT1AD8J XN--MGB9AWBF XN--MGBA3A4F16A XN--MGBAAM7A8H XN--MGBAB2BD XN--MGBAYH7GPA XN--MGBBH1A71E XN--MGBC0A9AZCG XN--MGBERP4A5D4AR XN--MGBX4CD0AB XN--NGBC5AZD XN--NODE XN--NQV7F XN--NQV7FS00EMA XN--O3CW4H XN--OGBPF8FL XN--P1ACF XN--P1AI XN--PGBS0DH XN--Q9JYB4C XN--QCKA1PMC XN--RHQV96G XN--S9BRJ9C XN--SES554G XN--UNUP4Y XN--VERMGENSBERATER-CTB XN--VERMGENSBERATUNG-PWB XN--VHQUV XN--WGBH1C XN--WGBL6A XN--XHQ521B XN--XKC2AL3HYE2A XN--XKC2DL3A5EE0H XN--YFRO4I67O XN--YGBI2AMMX XN--ZFR164B XXX XYZ YACHTS YANDEX YODOBASHI YOGA YOKOHAMA YOUTUBE ZIP ZONE ZUERICH	999
