type,Language Name,Population,Internet Population,Economy PPPGDP
en,English,1472.52,719.34,34772.16
zh_Hans,Chinese (Simplified),1229.24,564.22,14881.13
hi,Hindi,511.34,77.65,2794.70
es,Spanish,431.72,221.50,8493.68
ar,Arabic,275.60,110.37,5068.82
bn,Bengali,254.63,25.57,1050.55
ur,Urdu,235.69,28.32,1133.28
pt,Portuguese,217.71,104.61,3162.03
fr,French,214.52,92.41,4459.03
ru,Russian,185.82,107.92,4125.90
ja,Japanese,121.40,104.56,4440.50
de,German,94.63,78.10,4117.17
wuu,Wu Chinese,81.65,37.39,968.95
vi,Vietnamese,78.22,34.77,465.55
tr,Turkish,75.00,35.64,1466.21
it,Italian,66.86,41.49,2368.19
ko,Korean,53.91,44.90,1796.43
arz,Egyptian Arabic,53.57,26.55,582.27
zh_Hant,Chinese (Traditional),42.35,30.23,1606.32
nl,Dutch,30.79,27.19,1357.87
