type,Language Name,Economy PPPGDP,Population,Internet Population
en,English,34772.16,1472.52,719.34
zh_Hans,Chinese (Simplified),14881.13,1229.24,564.22
es,Spanish,8493.68,431.72,221.50
ar,Arabic,5068.82,275.60,110.37
fr,French,4459.03,214.52,92.41
ja,Japanese,4440.50,121.40,104.56
ru,Russian,4125.90,185.82,107.92
de,German,4117.17,94.63,78.10
pt,Portuguese,3162.03,217.71,104.61
hi,Hindi,2794.70,511.34,77.65
it,Italian,2368.19,66.86,41.49
ko,Korean,1796.43,53.91,44.90
zh_Hant,Chinese (Traditional),1606.32,42.35,30.23
tr,Turkish,1466.21,75.00,35.64
nl,Dutch,1357.87,30.79,27.19
ur,Urdu,1133.28,235.69,28.32
bn,Bengali,1050.55,254.63,25.57
wuu,Wu Chinese,968.95,81.65,37.39
arz,Egyptian Arabic,582.27,53.57,26.55
vi,Vietnamese,465.55,78.22,34.77
